feature,importance
three_cone,0.09620253
athleticism_index_pos_adj,0.06181863
production_trajectory,0.05961603
athleticism_index,0.05458527
career_receiving_yards,0.054303903
standing_vertical,0.050859436
arm_length,0.04881791
bench_reps_of_225,0.04485057
forty_yd_dash,0.042403568
wingspan,0.041947268
explosion_index,0.04176858
height,0.0412352
weight,0.040690895
career_receiving_touchdowns,0.03970597
career_defense_interceptions,0.034995183
career_defense_sacks,0.032893583
career_defense_solo_tackles,0.032667667
standing_broad_jump,0.031427532
dominator_proxy,0.030063938
dominator_per_season,0.027549203
size_speed_score,0.02654174
career_defense_tackles_for_loss,0.023795899
tackles_per_season,0.022358894
hand_size,0.018099863
career_receiving_receptions,0.0008007549
speed_score,0.0
agility_index,0.0
college_seasons,0.0
career_rushing_attempts,0.0
career_rushing_yards,0.0
career_rushing_touchdowns,0.0
career_passing_attempts,0.0
career_passing_completions,0.0
career_passing_yards,0.0
career_passing_touchdowns,0.0
career_passing_interceptions,0.0
career_defense_total_tackles,0.0
career_defense_pass_breakups,0.0
rec_yards_per_season,0.0
rush_yards_per_season,0.0
scrimmage_yards_per_season,0.0
tds_per_season,0.0
sacks_per_season,0.0
peak_season_year,0.0
